_time,_value
2026-07-12T11:58:33Z,0
2026-07-12T11:58:35.647Z,0
2026-07-12T12:37:42Z,0
2026-07-12T12:37:42.86Z,0
2026-07-12T12:40:27Z,0
2026-07-12T12:40:28.869Z,0
2026-07-12T13:03:20Z,0
2026-07-12T13:03:22.022Z,0
2026-07-12T13:06:25Z,0
2026-07-12T13:06:26.389Z,0
2026-07-12T13:16:54Z,0
2026-07-12T13:16:55.649Z,0
2026-07-12T13:20:59Z,0
2026-07-12T13:20:59.594Z,0
2026-07-12T13:33:11Z,0
2026-07-12T13:33:13.581Z,0
2026-07-12T13:37:24Z,0
2026-07-12T13:37:26.536Z,0
2026-07-12T13:50:27Z,0
2026-07-12T13:50:29.72Z,0
2026-07-12T13:57:31Z,0
2026-07-12T13:57:32.022Z,0
2026-07-12T14:03:41Z,0
2026-07-12T14:03:44.521Z,0
2026-07-12T14:11:14Z,0
2026-07-12T14:11:17.249Z,0
2026-07-12T14:37:50Z,0
2026-07-12T14:37:52.735Z,0
2026-07-12T14:46:47Z,0
2026-07-12T14:46:48.846Z,0
2026-07-12T15:19:38Z,0
2026-07-12T15:19:39.695Z,0
2026-07-12T15:23:22Z,0
2026-07-12T15:23:24.97Z,0
2026-07-12T19:10:48Z,0
2026-07-12T19:10:49.934Z,0
2026-07-13T03:00:00Z,4
2026-07-13T03:00:00.146Z,4
2026-07-13T05:47:33Z,4
2026-07-13T05:47:33.37Z,4
2026-07-13T05:50:31Z,3
2026-07-13T05:50:31.888Z,3
2026-07-13T07:48:29Z,1
2026-07-13T07:48:31.195Z,1
2026-07-13T08:30:00Z,0
2026-07-13T08:30:10.556Z,0
2026-07-13T09:35:39Z,0
2026-07-13T09:35:46.335Z,0
2026-07-13T09:40:31Z,0
2026-07-13T09:40:33.074Z,0
2026-07-13T09:51:44Z,0
2026-07-13T09:51:45.281Z,0
2026-07-13T09:55:12Z,0
2026-07-13T09:55:14.337Z,0
2026-07-13T11:25:41Z,0
2026-07-13T11:25:42.786Z,0
2026-07-13T11:31:15Z,0
2026-07-13T11:31:17.73Z,0
2026-07-13T11:35:27Z,0
2026-07-13T11:35:28.162Z,0
2026-07-13T11:56:04Z,0
2026-07-13T11:56:05.815Z,0
2026-07-13T12:18:02Z,0
2026-07-13T12:18:03.945Z,0
2026-07-13T13:29:09Z,0
2026-07-13T13:29:10.575Z,0
2026-07-13T13:49:07Z,0
2026-07-13T13:49:08.032Z,0
2026-07-13T14:23:30Z,0
2026-07-13T14:23:31.863Z,0
2026-07-13T14:50:53Z,0
2026-07-13T14:50:54.069Z,0
2026-07-13T15:32:04Z,0
2026-07-13T15:32:06.648Z,0
2026-07-13T15:39:00Z,0
2026-07-13T15:39:04.594Z,0
2026-07-13T16:50:07Z,0
2026-07-13T16:50:13.486Z,0
2026-07-13T16:58:59Z,0
2026-07-13T16:59:00.366Z,0
2026-07-13T17:02:29Z,0
2026-07-13T17:02:30.178Z,0
2026-07-13T21:26:32Z,0
2026-07-13T21:26:34.642Z,0
2026-06-02T22:53:48.805Z,0
2026-06-03T04:00:00.049Z,3
2026-06-03T06:00:00.182Z,0
2026-06-03T06:04:10.661Z,0
2026-06-03T06:04:10.724Z,3
2026-06-03T06:04:10.87Z,3
2026-06-03T06:04:12.234Z,3
2026-06-03T06:30:00.13Z,0
2026-06-03T06:40:15.783Z,0
2026-06-03T06:45:55.431Z,0
2026-06-03T06:51:07.657Z,0
2026-06-03T21:11:37.647Z,0
2026-06-04T04:00:00.073Z,3
2026-06-04T06:30:00.976Z,0
2026-06-04T07:54:39.105Z,0
2026-06-04T20:55:36.882Z,0
2026-06-05T04:00:00.224Z,3
2026-06-05T06:30:10.925Z,0
2026-06-05T07:30:13.748Z,0
2026-06-05T19:54:26.429Z,0
2026-06-06T04:00:00.667Z,3
2026-06-06T06:30:00.667Z,0
2026-06-06T07:23:09.349Z,0
2026-06-06T21:08:44.035Z,0
2026-06-07T04:00:01.808Z,3
2026-06-07T06:30:00.913Z,0
2026-06-07T07:05:19.184Z,0
2026-06-07T22:38:05.875Z,0
2026-06-08T04:00:00.068Z,3
2026-06-08T05:47:54.617Z,1
2026-06-08T05:56:38.121Z,3
2026-06-08T06:01:54.674Z,1
2026-06-08T06:30:00.102Z,0
2026-06-08T22:20:20.306Z,0
2026-06-09T04:00:00.15Z,3
2026-06-09T06:30:08.893Z,0
2026-06-09T06:45:00.195Z,0
2026-06-09T06:45:00.569Z,3
2026-06-09T06:45:00.627Z,3
2026-06-09T06:45:00.699Z,3
2026-06-09T07:52:37.711Z,1
2026-06-09T08:30:12.78Z,0
2026-06-09T08:40:43.676Z,0
2026-06-09T09:49:41.464Z,0
2026-06-09T21:36:10Z,0
2026-06-09T21:36:11.584Z,0
2026-06-10T03:00:00Z,3
2026-06-10T03:00:00.057Z,3
2026-06-10T07:01:49Z,1
2026-06-10T07:01:51.166Z,1
2026-06-10T08:30:00Z,0
2026-06-10T08:30:03.76Z,0
2026-06-10T21:51:47Z,0
2026-06-10T21:51:48.01Z,0
2026-06-11T03:00:00Z,3
2026-06-11T03:00:00.048Z,3
2026-06-11T06:18:06Z,4
2026-06-11T06:18:08.517Z,4
2026-06-11T06:27:07Z,1
2026-06-11T06:27:08.76Z,1
2026-06-11T06:29:31Z,0
2026-06-11T06:29:31.704Z,0
2026-06-11T06:29:31.748Z,0
2026-06-11T06:29:31.788Z,0
2026-06-11T06:29:38Z,0
2026-06-11T06:29:39.35Z,0
2026-06-11T06:57:40Z,0
2026-06-11T06:57:41.806Z,0
2026-06-11T07:21:16Z,1
2026-06-11T07:21:16.108Z,1
2026-06-11T07:21:16.166Z,1
2026-06-11T07:21:16.211Z,1
2026-06-11T08:30:00Z,0
2026-06-11T08:30:03.253Z,0
2026-06-11T23:07:07Z,0
2026-06-11T23:07:08.983Z,0
2026-06-12T03:00:00Z,3
2026-06-12T03:00:00.045Z,3
2026-06-12T06:09:43Z,1
2026-06-12T06:09:45.539Z,1
2026-06-12T08:30:00Z,0
2026-06-12T08:30:02.443Z,0
2026-06-12T21:52:47Z,0
2026-06-12T21:52:49.188Z,0
2026-06-13T01:02:12Z,0
2026-06-13T01:02:12.923Z,0
2026-06-13T02:57:45Z,0
2026-06-13T02:57:46.586Z,0
2026-06-13T03:00:00Z,3
2026-06-13T03:00:00.059Z,3
2026-06-13T03:04:12Z,1
2026-06-13T03:04:15.967Z,1
2026-06-13T03:28:58Z,3
2026-06-13T03:29:00.057Z,3
2026-06-13T03:38:52Z,1
2026-06-13T03:38:54.298Z,1
2026-06-13T08:30:00Z,0
2026-06-13T08:30:01.278Z,0
2026-06-14T03:00:00Z,1
2026-06-14T03:00:00.071Z,1
2026-06-14T08:30:00Z,0
2026-06-14T08:30:00.779Z,0
2026-06-14T21:34:05Z,0
2026-06-14T21:34:06.475Z,0
2026-06-15T03:00:00Z,3
2026-06-15T03:00:01.765Z,3
2026-06-15T05:30:09Z,1
2026-06-15T05:30:10.958Z,1
2026-06-15T08:30:00Z,0
2026-06-15T08:30:00.941Z,0
2026-06-15T21:03:24Z,0
2026-06-15T21:03:26.452Z,0
2026-06-16T03:00:00Z,3
2026-06-16T03:00:00.06Z,3
2026-06-16T07:08:12Z,1
2026-06-16T07:08:13.459Z,1
2026-06-16T07:58:56Z,-1
2026-06-16T07:58:56.195Z,-1
2026-06-16T07:58:56.269Z,-1
2026-06-16T07:58:56.343Z,-1
2026-06-16T08:02:51Z,-1
2026-06-16T08:02:54.201Z,-1
2026-06-16T08:16:03Z,-1
2026-06-16T08:16:06.328Z,-1
2026-06-16T08:30:00Z,-1
2026-06-16T08:30:00.67Z,-1
2026-06-16T09:46:57Z,0
2026-06-16T09:46:57.228Z,0
2026-06-16T09:46:57.311Z,0
2026-06-16T09:46:57.375Z,0
2026-06-16T21:42:22Z,0
2026-06-16T21:42:23.923Z,0
2026-06-17T03:00:00Z,3
2026-06-17T03:00:00.065Z,3
2026-06-17T03:57:08Z,1
2026-06-17T03:57:11.396Z,1
2026-06-17T04:31:16Z,3
2026-06-17T04:31:17.587Z,3
2026-06-17T04:49:04Z,1
2026-06-17T04:49:04.803Z,1
2026-06-17T08:30:00Z,0
2026-06-17T08:30:04.055Z,0
2026-06-17T23:50:47Z,0
2026-06-17T23:50:48.755Z,0
2026-06-18T01:15:53Z,0
2026-06-18T01:15:54.208Z,0
2026-06-18T03:00:00Z,1
2026-06-18T03:00:02.537Z,1
2026-06-18T05:28:59Z,3
2026-06-18T05:29:00.169Z,3
2026-06-18T05:30:33Z,1
2026-06-18T05:30:35.635Z,1
2026-06-18T07:41:25Z,-1
2026-06-18T07:41:26Z,-1
2026-06-18T07:41:26.059Z,-1
2026-06-18T07:41:26.127Z,-1
2026-06-18T07:41:26.187Z,-1
2026-06-18T08:30:00Z,-1
2026-06-18T08:30:00.205Z,-1
2026-06-18T09:02:13Z,0
2026-06-18T09:02:15Z,-1
2026-06-18T09:02:15.443Z,0
2026-06-18T09:02:15.484Z,0
2026-06-18T09:02:15.514Z,0
2026-06-18T09:02:15.873Z,-1
2026-06-18T09:02:15.904Z,-1
2026-06-18T09:02:15.931Z,-1
2026-06-18T09:02:16Z,0
2026-06-18T09:02:16.621Z,0
2026-06-18T09:02:16.693Z,0
2026-06-18T09:02:16.737Z,0
2026-06-18T22:43:03Z,0
2026-06-18T22:43:06.856Z,0
2026-06-19T03:00:00Z,3
2026-06-19T03:00:00.112Z,3
2026-06-19T03:41:55Z,1
2026-06-19T03:41:58.722Z,1
2026-06-19T04:08:53Z,3
2026-06-19T04:08:54.547Z,3
2026-06-19T04:31:23Z,1
2026-06-19T04:31:23.724Z,1
2026-06-19T05:09:38Z,3
2026-06-19T05:09:41.3Z,3
2026-06-19T05:21:00Z,1
2026-06-19T05:21:05.916Z,1
2026-06-19T06:08:43Z,1
2026-06-19T06:08:44Z,3
2026-06-19T06:08:44.061Z,1
2026-06-19T06:08:44.125Z,3
2026-06-19T06:08:44.296Z,3
2026-06-19T06:08:44.352Z,3
2026-06-19T06:09:01Z,3
2026-06-19T06:09:05.049Z,3
2026-06-19T06:09:05.145Z,3
2026-06-19T06:09:05.172Z,3
2026-06-19T06:12:23Z,1
2026-06-19T06:12:26.33Z,1
2026-06-19T08:30:00Z,0
2026-06-19T08:30:01.566Z,0
2026-06-19T21:35:05Z,0
2026-06-19T21:35:13.48Z,0
2026-06-20T03:00:00Z,3
2026-06-20T03:00:00.135Z,3
2026-06-20T05:31:37Z,1
2026-06-20T05:31:38.28Z,1
2026-06-20T05:55:22Z,3
2026-06-20T05:55:25.944Z,3
2026-06-20T06:07:04Z,1
2026-06-20T06:07:05.503Z,1
2026-06-20T08:30:00Z,0
2026-06-20T08:30:02.873Z,0
2026-06-20T21:17:40Z,0
2026-06-20T21:17:42.426Z,0
2026-06-21T03:00:00Z,3
2026-06-21T03:00:00.534Z,3
2026-06-21T05:44:12Z,1
2026-06-21T05:44:13.643Z,1
2026-06-21T05:59:03Z,3
2026-06-21T05:59:03.944Z,3
2026-06-21T06:05:53Z,1
2026-06-21T06:05:55.708Z,1
2026-06-21T08:30:00Z,0
2026-06-21T08:30:00.862Z,0
2026-06-22T03:00:00Z,1
2026-06-22T03:00:00.062Z,1
2026-06-22T08:30:00Z,0
2026-06-22T08:30:00.812Z,0
2026-06-22T16:46:47Z,0
2026-06-22T16:46:50.046Z,0
2026-06-22T17:01:50Z,0
2026-06-22T17:01:51.778Z,0
2026-06-22T17:22:36Z,0
2026-06-22T17:22:38.748Z,0
2026-06-22T17:49:39Z,0
2026-06-22T17:49:41.668Z,0
2026-06-23T03:00:00Z,1
2026-06-23T03:00:09.867Z,1
2026-06-23T07:00:33Z,-1
2026-06-23T07:00:34.074Z,-1
2026-06-23T07:00:34.102Z,-1
2026-06-23T07:00:34.129Z,-1
2026-06-23T08:13:25Z,1
2026-06-23T08:13:26.055Z,1
2026-06-23T08:13:26.762Z,1
2026-06-23T08:13:27.405Z,1
2026-06-23T08:30:00Z,0
2026-06-23T08:30:02.047Z,0
2026-06-23T15:30:34Z,0
2026-06-23T15:30:36.229Z,0
2026-06-23T18:01:31Z,0
2026-06-23T18:01:31.93Z,0
2026-06-24T01:08:43Z,0
2026-06-24T01:08:45.992Z,0
2026-06-24T01:59:38Z,0
2026-06-24T01:59:40.635Z,0
2026-06-24T03:00:00Z,1
2026-06-24T03:00:12.611Z,1
2026-06-24T08:30:00Z,0
2026-06-24T08:30:00.58Z,0
2026-06-24T09:46:32Z,0
2026-06-24T09:46:34.914Z,0
2026-06-24T10:00:34Z,0
2026-06-24T10:00:35.379Z,0
2026-06-24T10:05:50Z,0
2026-06-24T10:05:51.663Z,0
2026-06-24T10:23:20Z,0
2026-06-24T10:23:21.649Z,0
2026-06-24T11:36:26Z,0
2026-06-24T11:36:27.753Z,0
2026-06-24T11:40:05Z,0
2026-06-24T11:40:14.323Z,0
2026-06-24T12:13:23Z,0
2026-06-24T12:13:25.137Z,0
2026-06-24T12:35:33Z,0
2026-06-24T12:35:36.825Z,0
2026-06-24T12:39:45Z,0
2026-06-24T12:39:46.637Z,0
2026-06-24T13:04:13Z,0
2026-06-24T13:04:14.269Z,0
2026-06-24T13:07:32Z,0
2026-06-24T13:07:33.686Z,0
2026-06-24T17:23:41Z,0
2026-06-24T17:23:42.537Z,0
2026-06-25T01:45:50Z,0
2026-06-25T01:45:51.79Z,0
2026-06-25T03:00:00Z,3
2026-06-25T03:00:00.059Z,3
2026-06-25T03:07:14Z,1
2026-06-25T03:07:15.037Z,1
